# Format: variable_name|english_label|description|english_description
# WRF variable information generated from adapter metadata.

SWUPBC|INSTANTANEOUS UPWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM|WRF model output variable SWUPBC. Units: W m-2. Dimensions: Time, south_north, west_east.|INSTANTANEOUS UPWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM
SWDNB|INSTANTANEOUS DOWNWELLING SHORTWAVE FLUX AT BOTTOM|WRF model output variable SWDNB. Units: W m-2. Dimensions: Time, south_north, west_east.|INSTANTANEOUS DOWNWELLING SHORTWAVE FLUX AT BOTTOM
SWDNBC|INSTANTANEOUS DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM|WRF model output variable SWDNBC. Units: W m-2. Dimensions: Time, south_north, west_east.|INSTANTANEOUS DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM
LWUPT|INSTANTANEOUS UPWELLING LONGWAVE FLUX AT TOP|WRF model output variable LWUPT. Units: W m-2. Dimensions: Time, south_north, west_east.|INSTANTANEOUS UPWELLING LONGWAVE FLUX AT TOP
LWUPTC|INSTANTANEOUS UPWELLING CLEAR SKY LONGWAVE FLUX AT TOP|WRF model output variable LWUPTC. Units: W m-2. Dimensions: Time, south_north, west_east.|INSTANTANEOUS UPWELLING CLEAR SKY LONGWAVE FLUX AT TOP
LWDNT|INSTANTANEOUS DOWNWELLING LONGWAVE FLUX AT TOP|WRF model output variable LWDNT. Units: W m-2. Dimensions: Time, south_north, west_east.|INSTANTANEOUS DOWNWELLING LONGWAVE FLUX AT TOP
LWDNTC|INSTANTANEOUS DOWNWELLING CLEAR SKY LONGWAVE FLUX AT TOP|WRF model output variable LWDNTC. Units: W m-2. Dimensions: Time, south_north, west_east.|INSTANTANEOUS DOWNWELLING CLEAR SKY LONGWAVE FLUX AT TOP
LWUPB|INSTANTANEOUS UPWELLING LONGWAVE FLUX AT BOTTOM|WRF model output variable LWUPB. Units: W m-2. Dimensions: Time, south_north, west_east.|INSTANTANEOUS UPWELLING LONGWAVE FLUX AT BOTTOM
LWUPBC|INSTANTANEOUS UPWELLING CLEAR SKY LONGWAVE FLUX AT BOTTOM|WRF model output variable LWUPBC. Units: W m-2. Dimensions: Time, south_north, west_east.|INSTANTANEOUS UPWELLING CLEAR SKY LONGWAVE FLUX AT BOTTOM
LWDNB|INSTANTANEOUS DOWNWELLING LONGWAVE FLUX AT BOTTOM|WRF model output variable LWDNB. Units: W m-2. Dimensions: Time, south_north, west_east.|INSTANTANEOUS DOWNWELLING LONGWAVE FLUX AT BOTTOM
LWDNBC|INSTANTANEOUS DOWNWELLING CLEAR SKY LONGWAVE FLUX AT BOTTOM|WRF model output variable LWDNBC. Units: W m-2. Dimensions: Time, south_north, west_east.|INSTANTANEOUS DOWNWELLING CLEAR SKY LONGWAVE FLUX AT BOTTOM
OLR|TOA OUTGOING LONG WAVE|WRF model output variable OLR. Units: W m-2. Dimensions: Time, south_north, west_east.|TOA OUTGOING LONG WAVE
XLAT_U|LATITUDE, SOUTH IS NEGATIVE|WRF model output variable XLAT_U. Units: degree_north. Dimensions: Time, south_north, west_east_stag.|LATITUDE, SOUTH IS NEGATIVE
XLONG_U|LONGITUDE, WEST IS NEGATIVE|WRF model output variable XLONG_U. Units: degree_east. Dimensions: Time, south_north, west_east_stag.|LONGITUDE, WEST IS NEGATIVE
XLAT_V|LATITUDE, SOUTH IS NEGATIVE|WRF model output variable XLAT_V. Units: degree_north. Dimensions: Time, south_north_stag, west_east.|LATITUDE, SOUTH IS NEGATIVE
XLONG_V|LONGITUDE, WEST IS NEGATIVE|WRF model output variable XLONG_V. Units: degree_east. Dimensions: Time, south_north_stag, west_east.|LONGITUDE, WEST IS NEGATIVE
ALBEDO|ALBEDO|WRF model output variable ALBEDO. Units: -. Dimensions: Time, south_north, west_east.|ALBEDO
CLAT|COMPUTATIONAL GRID LATITUDE, SOUTH IS NEGATIVE|WRF model output variable CLAT. Units: degree_north. Dimensions: Time, south_north, west_east.|COMPUTATIONAL GRID LATITUDE, SOUTH IS NEGATIVE
ALBBCK|BACKGROUND ALBEDO|WRF model output variable ALBBCK. Units: unknown. Dimensions: Time, south_north, west_east.|BACKGROUND ALBEDO
EMISS|SURFACE EMISSIVITY|WRF model output variable EMISS. Units: unknown. Dimensions: Time, south_north, west_east.|SURFACE EMISSIVITY
NOAHRES|RESIDUAL OF THE NOAH SURFACE ENERGY BUDGET|WRF model output variable NOAHRES. Units: W m{-2}. Dimensions: Time, south_north, west_east.|RESIDUAL OF THE NOAH SURFACE ENERGY BUDGET
TMN|SOIL TEMPERATURE AT LOWER BOUNDARY|WRF model output variable TMN. Units: K. Dimensions: Time, south_north, west_east.|SOIL TEMPERATURE AT LOWER BOUNDARY
XLAND|LAND MASK (1 FOR LAND, 2 FOR WATER)|WRF model output variable XLAND. Units: unknown. Dimensions: Time, south_north, west_east.|LAND MASK (1 FOR LAND, 2 FOR WATER)
UST|U* IN SIMILARITY THEORY|WRF model output variable UST. Units: m s-1. Dimensions: Time, south_north, west_east.|U* IN SIMILARITY THEORY
PBLH|Planetary boundary layer height|Boundary layer height for mixing and pollutant dispersion assessment.|Planetary boundary layer height, used to assess near-surface mixing and pollutant dispersion conditions.
HFX|UPWARD HEAT FLUX AT THE SURFACE|WRF model output variable HFX. Units: W m-2. Dimensions: Time, south_north, west_east.|UPWARD HEAT FLUX AT THE SURFACE
QFX|UPWARD MOISTURE FLUX AT THE SURFACE|WRF model output variable QFX. Units: kg m-2 s-1. Dimensions: Time, south_north, west_east.|UPWARD MOISTURE FLUX AT THE SURFACE
LH|LATENT HEAT FLUX AT THE SURFACE|WRF model output variable LH. Units: W m-2. Dimensions: Time, south_north, west_east.|LATENT HEAT FLUX AT THE SURFACE
ACHFX|ACCUMULATED UPWARD HEAT FLUX AT THE SURFACE|WRF model output variable ACHFX. Units: J m-2. Dimensions: Time, south_north, west_east.|ACCUMULATED UPWARD HEAT FLUX AT THE SURFACE
ACLHF|ACCUMULATED UPWARD LATENT HEAT FLUX AT THE SURFACE|WRF model output variable ACLHF. Units: J m-2. Dimensions: Time, south_north, west_east.|ACCUMULATED UPWARD LATENT HEAT FLUX AT THE SURFACE
SNOWC|FLAG INDICATING SNOW COVERAGE (1 FOR SNOW COVER)|WRF model output variable SNOWC. Units: unknown. Dimensions: Time, south_north, west_east.|FLAG INDICATING SNOW COVERAGE (1 FOR SNOW COVER)
SR|fraction of frozen precipitation|WRF model output variable SR. Units: -. Dimensions: Time, south_north, west_east.|fraction of frozen precipitation
SAVE_TOPO_FROM_REAL|1=original topo from real/0=topo modified by WRF|WRF model output variable SAVE_TOPO_FROM_REAL. Units: flag. Dimensions: Time.|1=original topo from real/0=topo modified by WRF
ISEEDARR_SPPT|Array to hold seed for restart, SPPT|WRF model output variable ISEEDARR_SPPT. Units: unknown. Dimensions: Time, seed_dim_stag.|Array to hold seed for restart, SPPT
ISEEDARR_SKEBS|Array to hold seed for restart, SKEBS|WRF model output variable ISEEDARR_SKEBS. Units: unknown. Dimensions: Time, seed_dim_stag.|Array to hold seed for restart, SKEBS
ISEEDARR_RAND_PERTURB|Array to hold seed for restart, RAND_PERT|WRF model output variable ISEEDARR_RAND_PERTURB. Units: unknown. Dimensions: Time, seed_dim_stag.|Array to hold seed for restart, RAND_PERT
ISEEDARRAY_SPP_CONV|Array to hold seed for restart, RAND_PERT2|WRF model output variable ISEEDARRAY_SPP_CONV. Units: unknown. Dimensions: Time, seed_dim_stag.|Array to hold seed for restart, RAND_PERT2
ISEEDARRAY_SPP_PBL|Array to hold seed for restart, RAND_PERT3|WRF model output variable ISEEDARRAY_SPP_PBL. Units: unknown. Dimensions: Time, seed_dim_stag.|Array to hold seed for restart, RAND_PERT3
ISEEDARRAY_SPP_LSM|Array to hold seed for restart, RAND_PERT4|WRF model output variable ISEEDARRAY_SPP_LSM. Units: unknown. Dimensions: Time, seed_dim_stag.|Array to hold seed for restart, RAND_PERT4
C1H|half levels, c1h = d bf / d eta, using znw|WRF model output variable C1H. Units: Dimensionless. Dimensions: Time, bottom_top.|half levels, c1h = d bf / d eta, using znw
C2H|half levels, c2h = (1-c1h)*(p0-pt)|WRF model output variable C2H. Units: Pa. Dimensions: Time, bottom_top.|half levels, c2h = (1-c1h)*(p0-pt)
C1F|full levels, c1f = d bf / d eta, using znu|WRF model output variable C1F. Units: Dimensionless. Dimensions: Time, bottom_top_stag.|full levels, c1f = d bf / d eta, using znu
C2F|full levels, c2f = (1-c1f)*(p0-pt)|WRF model output variable C2F. Units: Pa. Dimensions: Time, bottom_top_stag.|full levels, c2f = (1-c1f)*(p0-pt)
C3H|half levels, c3h = bh|WRF model output variable C3H. Units: Dimensionless. Dimensions: Time, bottom_top.|half levels, c3h = bh
C4H|half levels, c4h = (eta-bh)*(p0-pt), using znu|WRF model output variable C4H. Units: Pa. Dimensions: Time, bottom_top.|half levels, c4h = (eta-bh)*(p0-pt), using znu
C3F|full levels, c3f = bf|WRF model output variable C3F. Units: Dimensionless. Dimensions: Time, bottom_top_stag.|full levels, c3f = bf
C4F|full levels, c4f = (eta-bf)*(p0-pt), using znw|WRF model output variable C4F. Units: Pa. Dimensions: Time, bottom_top_stag.|full levels, c4f = (eta-bf)*(p0-pt), using znw
PCB|base state dry air mass in column|WRF model output variable PCB. Units: Pa. Dimensions: Time, south_north, west_east.|base state dry air mass in column
PC|perturbation dry air mass in column|WRF model output variable PC. Units: Pa. Dimensions: Time, south_north, west_east.|perturbation dry air mass in column
LANDMASK|LAND MASK (1 FOR LAND, 0 FOR WATER)|WRF model output variable LANDMASK. Units: unknown. Dimensions: Time, south_north, west_east.|LAND MASK (1 FOR LAND, 0 FOR WATER)
LAKEMASK|LAKE MASK (1 FOR LAND, 0 FOR WATER)|WRF model output variable LAKEMASK. Units: unknown. Dimensions: Time, south_north, west_east.|LAKE MASK (1 FOR LAND, 0 FOR WATER)
SST|SEA SURFACE TEMPERATURE|WRF model output variable SST. Units: K. Dimensions: Time, south_north, west_east.|SEA SURFACE TEMPERATURE
SST_INPUT|SEA SURFACE TEMPERATURE FROM WRFLOWINPUT FILE|WRF model output variable SST_INPUT. Units: K. Dimensions: Time, south_north, west_east.|SEA SURFACE TEMPERATURE FROM WRFLOWINPUT FILE
